"Hide Price","Hide Price"
"Update Items and Quantities","Update Items and Quantities"
"Click to change shipping method","Click to change shipping method"
"Sorry, no quotes are available for this quote.","Sorry, no quotes are available for this quote."
"Get shipping methods and rates","Get shipping methods and rates"
"You don't need to select a shipping method.","You don't need to select a shipping method."
"records found","records found"
"selected","selected"
"Export to:","Export to:"
"per page","per page"
"Previous page","Previous page"
"Next page","Next page"
"Add Products","Add Products"
"Back","Back"
"SubTotal:","SubTotal:"
"Submit Quote Request","Submit Quote Request"
"You have updated %1 in your quote.","You have updated %1 in your quote."
"Sub User name", "Sub User Name"
"Sub User email", "Sub User Email"
"Created By", "Created By"
Customer Name,Customer Name
First Name,First Name
Last Name,Last Name
Please check your email. We will send you a quote confirmation with details.,Please check your email. We will send you a quote confirmation with details.
You have submitted a new quote. You can create account and contact store admin to follow your quote easier.,You have submitted a new quote. You can create account and contact store admin to follow your quote easier.
New quote email template for not-login customer,New quote email template for not-login customer
Delete Quote,Delete Quote
Are you sure you want to delete this quote?,Are you sure you want to delete this quote?
We can\'t find a quote.,We can\'t find a quote.
We don\'t delete the quote.,We don\'t delete the quote.
You deleted the quote,You deleted the quote
Delete Request For Quote,Delete Request For Quote
Are you sure you want to delete selected request for quote?,Are you sure you want to delete selected request for quote?
This action can not be done.,This action can not be done.
New Quote Email Template for Not-login Customer,New Quote Email Template for Not-login Customer
Your customer has Order a request quote., Your customer has Order a request quote.
We can\'t let you see the quote now., We can\'t let you see the quote now.
Quote Price (Ex.tax),Quote Price (Ex.tax)
Original Price, Original Price
Quote Price, Quote Price
Original Price (Ex.tax), Original Price (Ex.tax)
Subtotal (In.tax), Subtotal (In.tax)
Subtotal (Ex.tax), Subtotal (Ex.tax)
Price (In.tax), Price (In.tax)
Product Name, Product Name
'Please enter custom price value greater than 0.', 'Please enter custom price value greater than 0.'
'Send order request', 'Send order request'
'Send order request to company admin', 'Send order request to company admin'
'Something error when save origin price quote', 'Something error when save origin price quote'
'Order Sent', 'Order Sent'
